code,description,last_updated
F929,"Mixed disorder of conduct and emotions, unspecified",2025-09-07
F93,Emotional disorders with onset specific to childhood,2025-09-07
F930,Separation anxiety disorder of childhood,2025-09-07
F931,Phobic anxiety disorder of childhood,2025-09-07
F932,Social anxiety disorder of childhood,2025-09-07
F933,Sibling rivalry disorder,2025-09-07
F938,Other childhood emotional disorders,2025-09-07
F939,"Childhood emotional disorder, unspecified",2025-09-07
F94,Disorders of social functioning with onset specific to childhood and adolescence,2025-09-07
F940,Elective mutism,2025-09-07
F941,Reactive attachment disorder of childhood,2025-09-07
F942,Disinhibited attachment disorder of childhood,2025-09-07
F948,Other childhood disorders of social functioning,2025-09-07
F949,"Childhood disorder of social functioning, unspecified",2025-09-07
F95,Tic disorders,2025-09-07
F950,Transient tic disorder,2025-09-07
F951,Chronic motor or vocal tic disorder,2025-09-07
F952,Combined vocal and multiple motor tic disorder [de la Tourette],2025-09-07
F958,Other tic disorders,2025-09-07
F959,"Tic disorder, unspecified",2025-09-07
F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,2025-09-07
F980,Nonorganic enuresis,2025-09-07
F981,Nonorganic encopresis,2025-09-07
F982,Feeding disorder of infancy and childhood,2025-09-07
F983,Pica of infancy and childhood,2025-09-07
F984,Stereotyped movement disorders,2025-09-07
F985,Stuttering [stammering],2025-09-07
F986,Cluttering,2025-09-07
F988,Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence,2025-09-07
F989,Unspecified behavioural and emotional disorders with onset usually occurring in childhood and adolescence,2025-09-07
F99,"Mental disorder, not otherwise specified",2025-09-07
G00,"Bacterial meningitis, not elsewhere classified",2025-09-07
G000,Haemophilus meningitis,2025-09-07
G001,Pneumococcal meningitis,2025-09-07
G002,Streptococcal meningitis,2025-09-07
G003,Staphylococcal meningitis,2025-09-07
G008,Other bacterial meningitis,2025-09-07
G009,"Bacterial meningitis, unspecified",2025-09-07
G01,Meningitis in bacterial diseases classified elsewhere,2025-09-07
G02,Meningitis in other infectious and parasitic diseases classified elsewhere,2025-09-07
G020,Meningitis in viral diseases classified elsewhere,2025-09-07
G021,Meningitis in mycoses,2025-09-07
G028,Meningitis in other specified infectious and parasitic diseases classified elsewhere,2025-09-07
G03,Meningitis due to other and unspecified causes,2025-09-07
G030,Nonpyogenic meningitis,2025-09-07
G031,Chronic meningitis,2025-09-07
G032,Benign recurrent meningitis [Mollaret],2025-09-07
G038,Meningitis due to other specified causes,2025-09-07
G039,"Meningitis, unspecified",2025-09-07
G04,"Encephalitis, myelitis and encephalomyelitis",2025-09-07
G040,Acute disseminated encephalitis,2025-09-07
G041,Human T-cell lymphotropic virus associated myelopathy,2025-09-07
G042,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified",2025-09-07
G048,"Other encephalitis, myelitis and encephalomyelitis",2025-09-07
G049,"Encephalitis, myelitis and encephalomyelitis, unspecified",2025-09-07
G05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere",2025-09-07
G050,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere",2025-09-07
G051,"Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",2025-09-07
G052,"Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere",2025-09-07
G058,"Encephalitis, myelitis and encephalomyelitis in other diseases classified elsewhere",2025-09-07
G06,Intracranial and intraspinal abscess and granuloma,2025-09-07
G060,Intracranial abscess and granuloma,2025-09-07
G061,Intraspinal abscess and granuloma,2025-09-07
G062,"Extradural and subdural abscess, unspecified",2025-09-07
G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,2025-09-07
G08,Intracranial and intraspinal phlebitis and thrombophlebitis,2025-09-07
G09,Sequelae of inflammatory diseases of central nervous system,2025-09-07
G10,Huntington disease,2025-09-07
G11,Hereditary ataxia,2025-09-07
G110,Congenital nonprogressive ataxia,2025-09-07
G111,Early-onset cerebellar ataxia,2025-09-07
G112,Late-onset cerebellar ataxia,2025-09-07
G113,Cerebellar ataxia with defective DNA repair,2025-09-07
G114,Hereditary spastic paraplegia,2025-09-07
G118,Other hereditary ataxias,2025-09-07
G119,"Hereditary ataxia, unspecified",2025-09-07
G12,Spinal muscular atrophy and related syndromes,2025-09-07
G120,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]",2025-09-07
G121,Other inherited spinal muscular atrophy,2025-09-07
G122,Motor neuron disease,2025-09-07
G128,Other spinal muscular atrophies and related syndromes,2025-09-07
G129,"Spinal muscular atrophy, unspecified",2025-09-07
G13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,2025-09-07
G130,Paraneoplastic neuromyopathy and neuropathy,2025-09-07
G131,Other systemic atrophy primarily affecting central nervous system in neoplastic disease,2025-09-07
G132,Systemic atrophy primarily affecting central nervous system in myxoedema,2025-09-07
G138,Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere,2025-09-07
G14,Postpolio syndrome,2025-09-07
G20,Parkinson disease,2025-09-07
G21,Secondary parkinsonism,2025-09-07
G210,Malignant neuroleptic syndrome,2025-09-07
G211,Other drug-induced secondary parkinsonism,2025-09-07
G212,Secondary parkinsonism due to other external agents,2025-09-07
G213,Postencephalitic parkinsonism,2025-09-07
G214,Vascular parkinsonism,2025-09-07
G218,Other secondary parkinsonism,2025-09-07
G219,"Secondary parkinsonism, unspecified",2025-09-07
G22,Parkinsonism in diseases classified elsewhere,2025-09-07
G23,Other degenerative diseases of basal ganglia,2025-09-07
G230,Hallervorden-Spatz disease,2025-09-07
G231,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],2025-09-07
G232,"Multiple system atrophy, parkinsonian type [MSA-P]",2025-09-07
G233,"Multiple system atrophy, cerebellar type [MSA-C]",2025-09-07
G238,Other specified degenerative diseases of basal ganglia,2025-09-07
G239,"Degenerative disease of basal ganglia, unspecified",2025-09-07
G24,Dystonia,2025-09-07
G240,Drug-induced dystonia,2025-09-07
G241,Idiopathic familial dystonia,2025-09-07
G242,Idiopathic nonfamilial dystonia,2025-09-07
G243,Spasmodic torticollis,2025-09-07
G244,Idiopathic orofacial dystonia,2025-09-07
G245,Blepharospasm,2025-09-07
G248,Other dystonia,2025-09-07
G249,"Dystonia, unspecified",2025-09-07
G25,Other extrapyramidal and movement disorders,2025-09-07
G250,Essential tremor,2025-09-07
G251,Drug-induced tremor,2025-09-07
G252,Other specified forms of tremor,2025-09-07
G253,Myoclonus,2025-09-07
G254,Drug-induced chorea,2025-09-07
G255,Other chorea,2025-09-07
G256,Drug-induced tics and other tics of organic origin,2025-09-07
G258,Other specified extrapyramidal and movement disorders,2025-09-07
G259,"Extrapyramidal and movement disorder, unspecified",2025-09-07
G26,Extrapyramidal and movement disorders in diseases classified elsewhere,2025-09-07
G30,Alzheimer disease,2025-09-07
G300,Alzheimer disease with early onset,2025-09-07
G301,Alzheimer disease with late onset,2025-09-07
G308,Other Alzheimer disease,2025-09-07
G309,"Alzheimer disease, unspecified",2025-09-07
G31,"Other degenerative diseases of nervous system, not elsewhere classified",2025-09-07
G310,Circumscribed brain atrophy,2025-09-07
G311,"Senile degeneration of brain, not elsewhere classified",2025-09-07
G312,Degeneration of nervous system due to alcohol,2025-09-07
G318,Other specified degenerative diseases of nervous system,2025-09-07
G319,"Degenerative disease of nervous system, unspecified",2025-09-07
G32,Other degenerative disorders of nervous system in diseases classified elsewhere,2025-09-07
G320,Subacute combined degeneration of spinal cord in diseases classified elsewhere,2025-09-07
G328,Other specified degenerative disorders of nervous system in diseases classified elsewhere,2025-09-07
G35,Multiple sclerosis,2025-09-07
G36,Other acute disseminated demyelination,2025-09-07
G360,Neuromyelitis optica [Devic],2025-09-07
G361,Acute and subacute haemorrhagic leukoencephalitis [Hurst],2025-09-07
G368,Other specified acute disseminated demyelination,2025-09-07
G369,"Acute disseminated demyelination, unspecified",2025-09-07
G37,Other demyelinating diseases of central nervous system,2025-09-07
G370,Diffuse sclerosis,2025-09-07
G371,Central demyelination of corpus callosum,2025-09-07
G372,Central pontine myelinolysis,2025-09-07
G373,Acute transverse myelitis in demyelinating disease of central nervous system,2025-09-07
G374,Subacute necrotizing myelitis,2025-09-07
G375,Concentric sclerosis [Baló],2025-09-07
G378,Other specified demyelinating diseases of central nervous system,2025-09-07
G379,"Demyelinating disease of central nervous system, unspecified",2025-09-07
G40,Epilepsy,2025-09-07
G400,Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset,2025-09-07
G401,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures,2025-09-07
G402,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures,2025-09-07
G403,Generalized idiopathic epilepsy and epileptic syndromes,2025-09-07
G404,Other generalized epilepsy and epileptic syndromes,2025-09-07
G405,Special epileptic syndromes,2025-09-07
G406,"Grand mal seizures, unspecified (with or without petit mal)",2025-09-07
G407,"Petit mal, unspecified, without grand mal seizures",2025-09-07
G408,Other epilepsy,2025-09-07
G409,"Epilepsy, unspecified",2025-09-07
G41,Status epilepticus,2025-09-07
G410,Grand mal status epilepticus,2025-09-07
G411,Petit mal status epilepticus,2025-09-07
G412,Complex partial status epilepticus,2025-09-07
G418,Other status epilepticus,2025-09-07
G419,"Status epilepticus, unspecified",2025-09-07
G43,Migraine,2025-09-07
G430,Migraine without aura [common migraine],2025-09-07
G431,Migraine with aura [classical migraine],2025-09-07
G432,Status migrainosus,2025-09-07
G433,Complicated migraine,2025-09-07
G438,Other migraine,2025-09-07
G439,"Migraine, unspecified",2025-09-07
G44,Other headache syndromes,2025-09-07
G440,Cluster headache syndrome,2025-09-07
G441,"Vascular headache, not elsewhere classified",2025-09-07
G442,Tension-type headache,2025-09-07
G443,Chronic post-traumatic headache,2025-09-07
G444,"Drug-induced headache, not elsewhere classified",2025-09-07
G448,Other specified headache syndromes,2025-09-07
G45,Transient cerebral ischaemic attacks and related syndromes,2025-09-07
G450,Vertebro-basilar artery syndrome,2025-09-07
G451,Carotid artery syndrome (hemispheric),2025-09-07
G452,Multiple and bilateral precerebral artery syndromes,2025-09-07
G453,Amaurosis fugax,2025-09-07
G454,Transient global amnesia,2025-09-07
G458,Other transient cerebral ischaemic attacks and related syndromes,2025-09-07
G459,"Transient cerebral ischaemic attack, unspecified",2025-09-07
G46,Vascular syndromes of brain in cerebrovascular diseases,2025-09-07
G460,Middle cerebral artery syndrome,2025-09-07
G461,Anterior cerebral artery syndrome,2025-09-07
G462,Posterior cerebral artery syndrome,2025-09-07
G463,Brain stem stroke syndrome,2025-09-07
G464,Cerebellar stroke syndrome,2025-09-07
G465,Pure motor lacunar syndrome,2025-09-07
G466,Pure sensory lacunar syndrome,2025-09-07
G467,Other lacunar syndromes,2025-09-07
G468,Other vascular syndromes of brain in cerebrovascular diseases,2025-09-07
G47,Sleep disorders,2025-09-07
G470,Disorders of initiating and maintaining sleep [insomnias],2025-09-07
G471,Disorders of excessive somnolence [hypersomnias],2025-09-07
G472,Disorders of the sleep-wake schedule,2025-09-07
G473,Sleep apnoea,2025-09-07
G474,Narcolepsy and cataplexy,2025-09-07
G478,Other sleep disorders,2025-09-07
G479,"Sleep disorder, unspecified",2025-09-07
G50,Disorders of trigeminal nerve,2025-09-07
G500,Trigeminal neuralgia,2025-09-07
G501,Atypical facial pain,2025-09-07
G508,Other disorders of trigeminal nerve,2025-09-07
G509,"Disorder of trigeminal nerve, unspecified",2025-09-07
G51,Facial nerve disorders,2025-09-07
G510,Bell palsy,2025-09-07
G511,Geniculate ganglionitis,2025-09-07
G512,Melkersson syndrome,2025-09-07
G513,Clonic hemifacial spasm,2025-09-07
G514,Facial myokymia,2025-09-07
G518,Other disorders of facial nerve,2025-09-07
G519,"Disorder of facial nerve, unspecified",2025-09-07
G52,Disorders of other cranial nerves,2025-09-07
G520,Disorders of olfactory nerve,2025-09-07
G521,Disorders of glossopharyngeal nerve,2025-09-07
G522,Disorders of vagus nerve,2025-09-07
G523,Disorders of hypoglossal nerve,2025-09-07
G527,Disorders of multiple cranial nerves,2025-09-07
G528,Disorders of other specified cranial nerves,2025-09-07
G529,"Cranial nerve disorder, unspecified",2025-09-07
G53,Cranial nerve disorders in diseases classified elsewhere,2025-09-07
G530,Postzoster neuralgia,2025-09-07
G531,Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere,2025-09-07
G532,Multiple cranial nerve palsies in sarcoidosis,2025-09-07
G533,Multiple cranial nerve palsies in neoplastic disease,2025-09-07
G538,Other cranial nerve disorders in other diseases classified elsewhere,2025-09-07
G54,Nerve root and plexus disorders,2025-09-07
G540,Brachial plexus disorders,2025-09-07
G541,Lumbosacral plexus disorders,2025-09-07
G542,"Cervical root disorders, not elsewhere classified",2025-09-07
G543,"Thoracic root disorders, not elsewhere classified",2025-09-07
G544,"Lumbosacral root disorders, not elsewhere classified",2025-09-07
G545,Neuralgic amyotrophy,2025-09-07
G546,Phantom limb syndrome with pain,2025-09-07
G547,Phantom limb syndrome without pain,2025-09-07
G548,Other nerve root and plexus disorders,2025-09-07
G549,"Nerve root and plexus disorder, unspecified",2025-09-07
G55,Nerve root and plexus compressions in diseases classified elsewhere,2025-09-07
G550,Nerve root and plexus compressions in neoplastic disease,2025-09-07
G551,Nerve root and plexus compressions in intervertebral disc disorders,2025-09-07
G552,Nerve root and plexus compressions in spondylosis,2025-09-07
G553,Nerve root and plexus compressions in other dorsopathies,2025-09-07
G558,Nerve root and plexus compressions in other diseases classified elsewhere,2025-09-07
G56,Mononeuropathies of upper limb,2025-09-07
G560,Carpal tunnel syndrome,2025-09-07
G561,Other lesions of median nerve,2025-09-07
G562,Lesion of ulnar nerve,2025-09-07
G563,Lesion of radial nerve,2025-09-07
G568,Other mononeuropathies of upper limb,2025-09-07
G569,"Mononeuropathy of upper limb, unspecified",2025-09-07
G57,Mononeuropathies of lower limb,2025-09-07
G570,Lesion of sciatic nerve,2025-09-07
G571,Meralgia paraesthetica,2025-09-07
G572,Lesion of femoral nerve,2025-09-07
G573,Lesion of lateral popliteal nerve,2025-09-07
G574,Lesion of medial popliteal nerve,2025-09-07
G575,Tarsal tunnel syndrome,2025-09-07
G576,Lesion of plantar nerve,2025-09-07
G578,Other mononeuropathies of lower limb,2025-09-07
G579,"Mononeuropathy of lower limb, unspecified",2025-09-07
G58,Other mononeuropathies,2025-09-07
G580,Intercostal neuropathy,2025-09-07
G587,Mononeuritis multiplex,2025-09-07
G588,Other specified mononeuropathies,2025-09-07
G589,"Mononeuropathy, unspecified",2025-09-07
G59,Mononeuropathy in diseases classified elsewhere,2025-09-07
G590,Diabetic mononeuropathy,2025-09-07
G598,Other mononeuropathies in diseases classified elsewhere,2025-09-07
G60,Hereditary and idiopathic neuropathy,2025-09-07
G600,Hereditary motor and sensory neuropathy,2025-09-07
G601,Refsum disease,2025-09-07
G602,Neuropathy in association with hereditary ataxia,2025-09-07
G603,Idiopathic progressive neuropathy,2025-09-07
G608,Other hereditary and idiopathic neuropathies,2025-09-07
G609,"Hereditary and idiopathic neuropathy, unspecified",2025-09-07
G61,Inflammatory polyneuropathy,2025-09-07
G610,Guillain-Barré syndrome,2025-09-07
G611,Serum neuropathy,2025-09-07
G618,Other inflammatory polyneuropathies,2025-09-07
G619,"Inflammatory polyneuropathy, unspecified",2025-09-07
G62,Other polyneuropathies,2025-09-07
G620,Drug-induced polyneuropathy,2025-09-07
G621,Alcoholic polyneuropathy,2025-09-07
G622,Polyneuropathy due to other toxic agents,2025-09-07
G628,Other specified polyneuropathies,2025-09-07
G629,"Polyneuropathy, unspecified",2025-09-07
G63,Polyneuropathy in diseases classified elsewhere,2025-09-07
G630,Polyneuropathy in infectious and parasitic diseases classified elsewhere,2025-09-07
G631,Polyneuropathy in neoplastic disease,2025-09-07
G632,Diabetic polyneuropathy,2025-09-07
G633,Polyneuropathy in other endocrine and metabolic diseases,2025-09-07
G634,Polyneuropathy in nutritional deficiency,2025-09-07
G635,Polyneuropathy in systemic connective tissue disorders,2025-09-07
G636,Polyneuropathy in other musculoskeletal disorders,2025-09-07
G638,Polyneuropathy in other diseases classified elsewhere,2025-09-07
G64,Other disorders of peripheral nervous system,2025-09-07
G70,Myasthenia gravis and other myoneural disorders,2025-09-07
G700,Myasthenia gravis,2025-09-07
G701,Toxic myoneural disorders,2025-09-07
G702,Congenital and developmental myasthenia,2025-09-07
G708,Other specified myoneural disorders,2025-09-07
G709,"Myoneural disorder, unspecified",2025-09-07
G71,Primary disorders of muscles,2025-09-07
G710,Muscular dystrophy,2025-09-07
G711,Myotonic disorders,2025-09-07
G712,Congenital myopathies,2025-09-07
G713,"Mitochondrial myopathy, not elsewhere classified",2025-09-07
G718,Other primary disorders of muscles,2025-09-07
G719,"Primary disorder of muscle, unspecified",2025-09-07
G72,Other myopathies,2025-09-07
G720,Drug-induced myopathy,2025-09-07
G721,Alcoholic myopathy,2025-09-07
G722,Myopathy due to other toxic agents,2025-09-07
G723,Periodic paralysis,2025-09-07
G724,"Inflammatory myopathy, not elsewhere classified",2025-09-07
G728,Other specified myopathies,2025-09-07
G729,"Myopathy, unspecified",2025-09-07
G73,Disorders of myoneural junction and muscle in diseases classified elsewhere,2025-09-07
G730,Myasthenic syndromes in endocrine diseases,2025-09-07
G731,Lambert-Eaton syndrome,2025-09-07
G732,Other myasthenic syndromes in neoplastic disease,2025-09-07
G733,Myasthenic syndromes in other diseases classified elsewhere,2025-09-07
G734,Myopathy in infectious and parasitic diseases classified elsewhere,2025-09-07
G735,Myopathy in endocrine diseases,2025-09-07
G736,Myopathy in metabolic diseases,2025-09-07
G737,Myopathy in other diseases classified elsewhere,2025-09-07
G80,Cerebral palsy,2025-09-07
G800,Spastic quadriplegic cerebral palsy,2025-09-07
G801,Spastic diplegic cerebral palsy,2025-09-07
G802,Spastic hemiplegic cerebral palsy,2025-09-07
G803,Dyskinetic cerebral palsy,2025-09-07
G804,Ataxic cerebral palsy,2025-09-07
G808,Other cerebral palsy,2025-09-07
G809,"Cerebral palsy, unspecified",2025-09-07
G81,Hemiplegia,2025-09-07
G810,Flaccid hemiplegia,2025-09-07
G811,Spastic hemiplegia,2025-09-07
G819,"Hemiplegia, unspecified",2025-09-07
G82,Paraplegia and tetraplegia,2025-09-07
G820,Flaccid paraplegia,2025-09-07
G821,Spastic paraplegia,2025-09-07
G822,"Paraplegia, unspecified",2025-09-07
G823,Flaccid tetraplegia,2025-09-07
G824,Spastic tetraplegia,2025-09-07
G825,"Tetraplegia, unspecified",2025-09-07
G83,Other paralytic syndromes,2025-09-07
G830,Diplegia of upper limbs,2025-09-07
G831,Monoplegia of lower limb,2025-09-07
G832,Monoplegia of upper limb,2025-09-07
G833,"Monoplegia, unspecified",2025-09-07
G834,Cauda equina syndrome,2025-09-07
G835,Locked-in syndrome,2025-09-07
G836,Upper motor neuron facial paralysis,2025-09-07
G838,Other specified paralytic syndromes,2025-09-07
G839,"Paralytic syndrome, unspecified",2025-09-07
G90,Disorders of autonomic nervous system,2025-09-07
G900,Idiopathic peripheral autonomic neuropathy,2025-09-07
G901,Familial dysautonomia [Riley-Day],2025-09-07
G902,Horner syndrome,2025-09-07
G904,Autonomic dysreflexia,2025-09-07
G905,Complex regional pain syndrome type I,2025-09-07
G906,Complex regional pain syndrome type II,2025-09-07
G907,"Complex regional pain syndrome, other and unspecified type",2025-09-07
G908,Other disorders of autonomic nervous system,2025-09-07
G909,"Disorder of autonomic nervous system, unspecified",2025-09-07
G91,Hydrocephalus,2025-09-07
G910,Communicating hydrocephalus,2025-09-07
G911,Obstructive hydrocephalus,2025-09-07
G912,Normal-pressure hydrocephalus,2025-09-07
G913,"Post-traumatic hydrocephalus, unspecified",2025-09-07
G918,Other hydrocephalus,2025-09-07
G919,"Hydrocephalus, unspecified",2025-09-07
G92,Toxic encephalopathy,2025-09-07
G93,Other disorders of brain,2025-09-07
G930,Cerebral cysts,2025-09-07
G931,"Anoxic brain damage, not elsewhere classified",2025-09-07
G932,Benign intracranial hypertension,2025-09-07
G933,Postviral fatigue syndrome,2025-09-07
G934,"Encephalopathy, unspecified",2025-09-07
G935,Compression of brain,2025-09-07
G936,Cerebral oedema,2025-09-07
G937,Reye syndrome,2025-09-07
G938,Other specified disorders of brain,2025-09-07
G939,"Disorder of brain, unspecified",2025-09-07
G94,Other disorders of brain in diseases classified elsewhere,2025-09-07
G940,Hydrocephalus in infectious and parasitic diseases classified elsewhere,2025-09-07
G941,Hydrocephalus in neoplastic disease,2025-09-07
G942,Hydrocephalus in other diseases classified elsewhere,2025-09-07
G943,Encephalopathy in diseases classified elsewhere,2025-09-07
G948,Other specified disorders of brain in diseases classified elsewhere,2025-09-07
G95,Other diseases of spinal cord,2025-09-07
G950,Syringomyelia and syringobulbia,2025-09-07
G951,Vascular myelopathies,2025-09-07
G952,"Cord compression, unspecified",2025-09-07
G958,Other specified diseases of spinal cord,2025-09-07
G959,"Disease of spinal cord, unspecified",2025-09-07
G96,Other disorders of central nervous system,2025-09-07
G960,Cerebrospinal fluid leak,2025-09-07
G961,"Disorders of meninges, not elsewhere classified",2025-09-07
G968,Other specified disorders of central nervous system,2025-09-07
G969,"Disorder of central nervous system, unspecified",2025-09-07
G97,"Postprocedural disorders of nervous system, not elsewhere classified",2025-09-07
G970,Cerebrospinal fluid leak from spinal puncture,2025-09-07
G971,Other reaction to spinal and lumbar puncture,2025-09-07
G972,Intracranial hypotension following ventricular shunting,2025-09-07
G978,Other postprocedural disorders of nervous system,2025-09-07
G979,"Postprocedural disorder of nervous system, unspecified",2025-09-07
G98,"Other disorders of nervous system, not elsewhere classified",2025-09-07
G99,Other disorders of nervous system in diseases classified elsewhere,2025-09-07
G990,Autonomic neuropathy in endocrine and metabolic diseases,2025-09-07
G991,Other disorders of autonomic nervous system in other diseases classified elsewhere,2025-09-07
G992,Myelopathy in diseases classified elsewhere,2025-09-07
G998,Other specified disorders of nervous system in diseases classified elsewhere,2025-09-07
H00,Hordeolum and chalazion,2025-09-07
H000,Hordeolum and other deep inflammation of eyelid,2025-09-07
H001,Chalazion,2025-09-07
H01,Other inflammation of eyelid,2025-09-07
H010,Blepharitis,2025-09-07
H011,Noninfectious dermatoses of eyelid,2025-09-07
H018,Other specified inflammation of eyelid,2025-09-07
H019,"Inflammation of eyelid, unspecified",2025-09-07
H02,Other disorders of eyelid,2025-09-07
H020,Entropion and trichiasis of eyelid,2025-09-07
H021,Ectropion of eyelid,2025-09-07
H022,Lagophthalmos,2025-09-07
H023,Blepharochalasis,2025-09-07
H024,Ptosis of eyelid,2025-09-07
H025,Other disorders affecting eyelid function,2025-09-07
H026,Xanthelasma of eyelid,2025-09-07
H027,Other degenerative disorders of eyelid and periocular area,2025-09-07
H028,Other specified disorders of eyelid,2025-09-07
H029,"Disorder of eyelid, unspecified",2025-09-07
H03,Disorders of eyelid in diseases classified elsewhere,2025-09-07
H030,Parasitic infestation of eyelid in diseases classified elsewhere,2025-09-07
H031,Involvement of eyelid in other infectious diseases classified elsewhere,2025-09-07
H038,Involvement of eyelid in other diseases classified elsewhere,2025-09-07
H04,Disorders of lacrimal system,2025-09-07
H040,Dacryoadenitis,2025-09-07
H041,Other disorders of lacrimal gland,2025-09-07
H042,Epiphora,2025-09-07
H043,Acute and unspecified inflammation of lacrimal passages,2025-09-07
H044,Chronic inflammation of lacrimal passages,2025-09-07
H045,Stenosis and insufficiency of lacrimal passages,2025-09-07
H046,Other changes in lacrimal passages,2025-09-07
H048,Other disorders of lacrimal system,2025-09-07
H049,"Disorder of lacrimal system, unspecified",2025-09-07
H05,Disorders of orbit,2025-09-07
H050,Acute inflammation of orbit,2025-09-07
H051,Chronic inflammatory disorders of orbit,2025-09-07
H052,Exophthalmic conditions,2025-09-07
H053,Deformity of orbit,2025-09-07
H054,Enophthalmos,2025-09-07
H055,Retained (old) foreign body following penetrating wound of orbit,2025-09-07
H058,Other disorders of orbit,2025-09-07
H059,"Disorder of orbit, unspecified",2025-09-07
H06,Disorders of lacrimal system and orbit in diseases classified elsewhere,2025-09-07
H060,Disorders of lacrimal system in diseases classified elsewhere,2025-09-07
H061,Parasitic infestation of orbit in diseases classified elsewhere,2025-09-07
H062,Dysthyroid exophthalmos,2025-09-07
H063,Other disorders of orbit in diseases classified elsewhere,2025-09-07
H10,Conjunctivitis,2025-09-07
H100,Mucopurulent conjunctivitis,2025-09-07
H101,Acute atopic conjunctivitis,2025-09-07
H102,Other acute conjunctivitis,2025-09-07
H103,"Acute conjunctivitis, unspecified",2025-09-07
H104,Chronic conjunctivitis,2025-09-07
H105,Blepharoconjunctivitis,2025-09-07
H108,Other conjunctivitis,2025-09-07
H109,"Conjunctivitis, unspecified",2025-09-07
H11,Other disorders of conjunctiva,2025-09-07
H110,Pterygium,2025-09-07
H111,Conjunctival degenerations and deposits,2025-09-07
H112,Conjunctival scars,2025-09-07
H113,Conjunctival haemorrhage,2025-09-07
H114,Other conjunctival vascular disorders and cysts,2025-09-07
H118,Other specified disorders of conjunctiva,2025-09-07
H119,"Disorder of conjunctiva, unspecified",2025-09-07
H13,Disorders of conjunctiva in diseases classified elsewhere,2025-09-07
H130,Filarial infection of conjunctiva,2025-09-07
H131,Conjunctivitis in infectious and parasitic diseases classified elsewhere,2025-09-07
H132,Conjunctivitis in other diseases classified elsewhere,2025-09-07
H133,Ocular pemphigoid,2025-09-07
H138,Other disorders of conjunctiva in diseases classified elsewhere,2025-09-07
H15,Disorders of sclera,2025-09-07
H150,Scleritis,2025-09-07
H151,Episcleritis,2025-09-07
H158,Other disorders of sclera,2025-09-07
H159,"Disorder of sclera, unspecified",2025-09-07
H16,Keratitis,2025-09-07
H160,Corneal ulcer,2025-09-07
H161,Other superficial keratitis without conjunctivitis,2025-09-07
H162,Keratoconjunctivitis,2025-09-07
H163,Interstitial and deep keratitis,2025-09-07
H164,Corneal neovascularization,2025-09-07
H168,Other keratitis,2025-09-07
H169,"Keratitis, unspecified",2025-09-07
H17,Corneal scars and opacities,2025-09-07
H170,Adherent leukoma,2025-09-07
H171,Other central corneal opacity,2025-09-07
H178,Other corneal scars and opacities,2025-09-07
H179,"Corneal scar and opacity, unspecified",2025-09-07
H18,Other disorders of cornea,2025-09-07
H180,Corneal pigmentations and deposits,2025-09-07
H181,Bullous keratopathy,2025-09-07
H182,Other corneal oedema,2025-09-07
H183,Changes in corneal membranes,2025-09-07
H184,Corneal degeneration,2025-09-07
H185,Hereditary corneal dystrophies,2025-09-07
H186,Keratoconus,2025-09-07
H187,Other corneal deformities,2025-09-07
H188,Other specified disorders of cornea,2025-09-07
H189,"Disorder of cornea, unspecified",2025-09-07
H19,Disorders of sclera and cornea in diseases classified elsewhere,2025-09-07
H190,Scleritis and episcleritis in diseases classified elsewhere,2025-09-07
H191,Herpesviral keratitis and keratoconjunctivitis,2025-09-07
H192,Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere,2025-09-07
H193,Keratitis and keratoconjunctivitis in other diseases classified elsewhere,2025-09-07
H198,Other disorders of sclera and cornea in diseases classified elsewhere,2025-09-07
H20,Iridocyclitis,2025-09-07
H200,Acute and subacute iridocyclitis,2025-09-07
H201,Chronic iridocyclitis,2025-09-07
H202,Lens-induced iridocyclitis,2025-09-07
H208,Other iridocyclitis,2025-09-07
H209,"Iridocyclitis, unspecified",2025-09-07
H21,Other disorders of iris and ciliary body,2025-09-07
H210,Hyphaema,2025-09-07
H211,Other vascular disorders of iris and ciliary body,2025-09-07
H212,Degeneration of iris and ciliary body,2025-09-07
H213,"Cyst of iris, ciliary body and anterior chamber",2025-09-07
H214,Pupillary membranes,2025-09-07
H215,Other adhesions and disruptions of iris and ciliary body,2025-09-07
H218,Other specified disorders of iris and ciliary body,2025-09-07
